Address, Read/Write, Value, Soft,Hard,Hit,Evicted_pg#,Dirty_evicted_page,
1C,0	,140	,0	,0	,0	,0	,0	
58,0	,100	,0	,0	,0	,0	,0	
14,0	,46	,0	,0	,0	,0	,0	
93,0	,3	,0	,0	,0	,0	,0	
C7,0	,151	,0	,0	,0	,0	,0	
76,0	,95	,0	,0	,0	,0	,0	
F8,0	,161	,0	,0	,0	,0	,0	
C8,0	,69	,0	,0	,0	,0	,0	
BC,0	,146	,0	,0	,0	,0	,0	
42,0	,250	,0	,0	,0	,0	,0	
09,0	,188	,0	,0	,0	,0	,0	
02,0	,76	,0	,0	,0	,0	,0	
2E,0	,239	,0	,0	,0	,0	,0	
A1,0	,25	,0	,0	,0	,0	,0	
D4,0	,133	,0	,0	,0	,0	,0	
D3,0	,3	,0	,0	,0	,0	,0	
C9,0	,4	,0	,0	,0	,0	,0	
D8,0	,137	,0	,0	,0	,0	,0	
13,0	,249	,0	,0	,0	,0	,0	
98,0	,48	,0	,0	,0	,0	,0	
15,0	,20	,0	,0	,0	,0	,0	
55,0	,73	,0	,0	,0	,0	,0	
64,0	,179	,0	,0	,0	,0	,0	
97,0	,49	,0	,0	,0	,0	,0	
80,0	,103	,0	,0	,0	,0	,0	
97,0	,248	,0	,0	,0	,0	,0	
47,0	,235	,0	,0	,0	,0	,0	
69,0	,67	,0	,0	,0	,0	,0	
05,0	,192	,0	,0	,0	,0	,0	
75,0	,243	,0	,0	,0	,0	,0	
AA,0	,117	,0	,0	,0	,0	,0	
5C,0	,110	,0	,0	,0	,0	,0	
D8,0	,104	,0	,0	,0	,0	,0	
B4,0	,43	,0	,0	,0	,0	,0	
F7,0	,40	,0	,0	,0	,0	,0	
A3,0	,166	,0	,0	,0	,0	,0	
1F,0	,132	,0	,0	,0	,0	,0	
98,0	,128	,0	,0	,0	,0	,0	
CA,0	,97	,0	,0	,0	,0	,0	
70,0	,34	,0	,0	,0	,0	,0	
6A,0	,239	,0	,0	,0	,0	,0	
18,0	,205	,0	,0	,0	,0	,0	
3A,0	,135	,0	,0	,0	,0	,0	
EA,0	,96	,0	,0	,0	,0	,0	
3D,0	,193	,0	,0	,0	,0	,0	
9C,0	,18	,0	,0	,0	,0	,0	
62,0	,155	,0	,0	,0	,0	,0	
C0,0	,64	,0	,0	,0	,0	,0	
1F,0	,9	,0	,0	,0	,0	,0	
B5,0	,212	,0	,0	,0	,0	,0	
F1,0	,1	,0	,0	,0	,0	,0	
A1,1	,8517174	,0	,0	,0	,0	,0	
7D,0	,190	,0	,0	,0	,0	,0	
54,1	,-8630888	,0	,0	,0	,0	,0	
AB,1	,-2553064	,0	,0	,0	,0	,0	
CB,0	,74	,0	,0	,0	,0	,0	
91,1	,4560783	,0	,0	,0	,0	,0	
99,0	,95	,0	,0	,0	,0	,0	
26,0	,21	,0	,0	,0	,0	,0	
7A,0	,151	,0	,0	,0	,0	,0	
F4,1	,-3609668	,0	,0	,0	,0	,0	
73,0	,150	,0	,0	,0	,0	,0	
A8,0	,237	,0	,0	,0	,0	,0	
8A,0	,26	,0	,0	,0	,0	,0	
8F,0	,174	,0	,0	,0	,0	,0	
9D,0	,97	,0	,0	,0	,0	,0	
24,0	,239	,0	,0	,0	,0	,0	
75,0	,117	,0	,0	,0	,0	,0	
15,1	,-9937550	,0	,0	,0	,0	,0	
65,1	,-4604768	,0	,0	,0	,0	,0	
A7,0	,130	,0	,0	,0	,0	,0	
7C,0	,56	,0	,0	,0	,0	,0	
B8,1	,156532	,0	,0	,0	,0	,0	
99,0	,50	,0	,0	,0	,0	,0	
06,0	,90	,0	,0	,0	,0	,0	
D5,0	,54	,0	,0	,0	,0	,0	
6A,0	,240	,0	,0	,0	,0	,0	
25,0	,196	,0	,0	,0	,0	,0	
C2,0	,234	,0	,0	,0	,0	,0	
E5,0	,11	,0	,0	,0	,0	,0	
95,0	,198	,0	,0	,0	,0	,0	
0C,0	,98	,0	,0	,0	,0	,0	
A4,0	,25	,0	,0	,0	,0	,0	
95,0	,115	,0	,0	,0	,0	,0	
75,0	,205	,0	,0	,0	,0	,0	
32,1	,863422	,0	,0	,0	,0	,0	
16,1	,-5015210	,0	,0	,0	,0	,0	
7A,0	,136	,0	,0	,0	,0	,0	
0E,1	,6939548	,0	,0	,0	,0	,0	
8C,0	,87	,0	,0	,0	,0	,0	
5E,0	,223	,0	,0	,0	,0	,0	
CB,0	,0	,0	,0	,0	,0	,0	
69,1	,7685311	,0	,0	,0	,0	,0	
48,0	,33	,0	,0	,0	,0	,0	
79,0	,64	,0	,0	,0	,0	,0	
6E,0	,68	,0	,0	,0	,0	,0	
72,0	,173	,0	,0	,0	,0	,0	
EB,0	,62	,0	,0	,0	,0	,0	
66,0	,145	,0	,0	,0	,0	,0	
92,0	,56	,0	,0	,0	,0	,0	
0A,0	,172	,0	,0	,0	,0	,0	
BC,0	,249	,0	,0	,0	,0	,0	
6C,0	,46	,0	,0	,0	,0	,0	
2D,0	,47	,0	,0	,0	,0	,0	
85,0	,46	,0	,0	,0	,0	,0	
3F,0	,30	,0	,0	,0	,0	,0	
AB,0	,196	,0	,0	,0	,0	,0	
9D,0	,160	,0	,0	,0	,0	,0	
46,1	,1705404	,0	,0	,0	,0	,0	
EA,0	,85	,0	,0	,0	,0	,0	
65,0	,228	,0	,0	,0	,0	,0	
1F,0	,192	,0	,0	,0	,0	,0	
